full_name,spkid,neo,pha,a,e,i,q,ad,per,n,ma,H,diameter,albedo,rot_per,GM,spec_B,spec_T,full_name_gaia,da_dt,e_da_dt,SNR,FAccept,normalized_name,number_only,clean_name
185851 (2000 DP107),20185851,True,True,1.37,0.377,8.67,0.851,1.88,583.0,0.618,309.0,18.31,0.863,0.137,2.7754,3.224e-08,,,185851,0.000407794,2.64667e-05,15.4078,1,185851,185851,185851
(2010 GD35),3515692,True,False,0.764,0.481,7.82,0.397,1.13,244.0,1.47,273.0,24.62,,,,,,,2010 GD35,0.011357,0.000743208,15.2811,1,2010 gd35,2010,2010 GD35
(2018 KR),3824981,True,False,0.885,0.208,1.16,0.701,1.07,304.0,1.18,217.0,26.39,,,,,,,2018 KR,-0.0101639,0.000680621,14.9333,1,2018 kr,2018,2018 KR
450237 (2002 XY38),20450237,True,False,0.911,0.218,2.12,0.713,1.11,318.0,1.13,294.0,23.18,0.096,0.134,,,,,450237,-0.00526751,0.000352803,14.9304,1,450237,450237,450237
85990 (1999 JV6),20085990,True,True,1.01,0.312,5.36,0.695,1.32,370.0,0.972,341.0,20.27,0.451,0.095,6.538,,,,85990,-0.0014786,0.000102112,14.4802,1,85990,85990,85990
(2004 JN1),3182169,True,False,1.09,0.176,1.5,0.895,1.28,413.0,0.872,79.0,23.74,,,,,,,2004 JN1,-0.0164312,0.00115145,14.27,Rej.,2004 jn1,2004,2004 JN1
(2011 CL50),3557536,True,False,0.882,0.146,0.187,0.754,1.01,303.0,1.19,111.0,27.3,,,,,,,2011 CL50,0.194959,0.013859,14.0674,Rej.,2011 cl50,2011,2011 CL50
(2003 AF23),3146499,True,True,0.874,0.426,23.2,0.502,1.25,299.0,1.21,78.2,21.01,,,19.89,,,,2003 AF23,-0.00246719,0.000179111,13.7747,1,2003 af23,2003,2003 AF23
(2001 BB16),3071939,True,False,0.855,0.172,2.03,0.708,1.0,289.0,1.25,303.0,23.2,,,,,,,2001 BB16,0.0153562,0.0011376,13.4988,Rej.,2001 bb16,2001,2001 BB16
139359 (2001 ME1),20139359,True,True,2.63,0.87,5.96,0.343,4.93,1560.0,0.231,231.0,16.52,,,,,,,139359,-0.0275336,0.00206432,13.3378,Rej.,139359,139359,139359
(2000 TU28),3050517,True,True,1.07,0.183,15.6,0.877,1.27,406.0,0.887,134.0,21.05,,,128.5,,,,2000 TU28,-0.00349841,0.000262722,13.316,1,2000 tu28,2000,2000 TU28
1862 Apollo (1932 HA),20001862,True,True,1.47,0.56,6.35,0.647,2.29,652.0,0.552,114.0,16.08,1.5,0.25,3.065,,,,1862,-0.000190871,1.44952e-05,13.1678,1,1862,1862,1862
363599 (2004 FG11),20363599,True,True,1.59,0.724,3.13,0.438,2.73,730.0,0.493,267.0,21.05,0.152,0.306,7.021,,,,363599,-0.00451215,0.000352435,12.8028,1,363599,363599,363599
326354 (2000 SJ344),20326354,True,False,1.14,0.175,5.75,0.941,1.34,445.0,0.809,222.0,22.78,,,,,,,326354,-0.0062738,0.000493904,12.7025,1,326354,326354,326354
401885 (2001 RV17),20401885,True,False,0.915,0.342,7.53,0.602,1.23,320.0,1.13,87.4,20.42,,,,,,,401885,-0.00240239,0.000190889,12.5853,1,401885,401885,401885
477719 (2010 SG15),20477719,True,False,2.08,0.476,0.828,1.09,3.07,1090.0,0.329,12.8,25.26,,,,,,,477719,-0.00683813,0.000561995,12.1676,1,477719,477719,477719
(2014 RQ17),3687148,True,False,1.77,0.443,3.66,0.985,2.55,858.0,0.42,254.0,22.3,,,0.5216,,,,2014 RQ17,-0.00164974,0.000136028,12.1279,1,2014 rq17,2014,2014 RQ17
363027 (1998 ST27),20363027,True,True,0.82,0.53,21.1,0.386,1.25,271.0,1.33,88.4,19.58,0.578,0.059,3.0,,,,363027,0.00098515,8.16424e-05,12.0667,1,363027,363027,363027
350462 (1998 KG3),20350462,True,False,1.16,0.117,5.51,1.02,1.29,456.0,0.79,108.0,22.1,,,13.335,,,,350462,-0.00279628,0.000232327,12.036,1,350462,350462,350462
612600 (2003 SM84),20612600,True,False,1.13,0.082,2.8,1.03,1.22,436.0,0.826,279.0,23.02,,,,,,,612600,-0.00711312,0.000597993,11.895,1,612600,612600,612600
1566 Icarus (1949 MA),20001566,True,True,1.08,0.827,22.8,0.186,1.97,409.0,0.881,153.0,16.53,1.0,0.51,2.2726,,,,1566,-0.00050242,4.36321e-05,11.5149,1,1566,1566,1566
468468 (2004 KH17),20468468,True,True,0.712,0.498,22.1,0.357,1.07,220.0,1.64,112.0,22.01,0.197,0.072,,,,,468468,-0.00435601,0.000380958,11.4344,1,468468,468468,468468
(2016 TH94),3762462,True,False,0.827,0.373,23.1,0.519,1.14,275.0,1.31,276.0,24.58,,,,,,,2016 TH94,-0.0125928,0.00110757,11.3698,1,2016 th94,2016,2016 TH94
399308 (1993 GD),20399308,True,False,1.1,0.238,15.5,0.84,1.36,423.0,0.852,201.0,20.62,,,,,,,399308,0.00300008,0.000266076,11.2753,1,399308,399308,399308
613569 (2006 TU7),20613569,True,True,0.851,0.47,2.95,0.451,1.25,287.0,1.25,24.7,21.95,,,,,,,613569,0.00696277,0.00062345,11.1681,1,613569,613569,613569
(2007 TF15),3387609,True,False,1.11,0.0444,4.26,1.06,1.16,426.0,0.845,337.0,24.69,,,,,,,2007 TF15,-0.00921977,0.0008391,10.9877,1,2007 tf15,2007,2007 TF15
437844 (1999 MN),20437844,True,True,0.674,0.665,2.03,0.226,1.12,202.0,1.78,108.0,21.01,,,5.495,,,,437844,0.00323598,0.000297196,10.8883,1,437844,437844,437844
613995 (2008 NP3),20613995,True,False,1.0,0.334,1.43,0.669,1.34,368.0,0.978,4.28,22.85,0.193,0.023,,,,,613995,-0.00952346,0.000876253,10.8684,Rej.,613995,613995,613995
(2016 PF8),3756949,True,True,1.13,0.563,5.67,0.494,1.77,439.0,0.821,329.0,21.43,,,,,,,2016 PF8,0.0102822,0.000948743,10.8377,Rej.,2016 pf8,2016,2016 PF8
(2015 EG),3712904,True,False,0.863,0.356,2.5,0.556,1.17,293.0,1.23,232.0,25.61,,,1.29,,,,2015 EG,-0.0100834,0.000936871,10.7628,1,2015 eg,2015,2015 EG
612094 (1999 NW2),20612094,True,False,1.12,0.109,8.68,0.995,1.24,431.0,0.836,80.0,23.27,,,4.2,,,,612094,-0.00342475,0.000329047,10.4081,1,612094,612094,612094
265482 (2005 EE),20265482,True,True,1.13,0.328,6.17,0.759,1.5,438.0,0.822,183.0,21.21,,,2.6534,,,,265482,0.00396322,0.00038495,10.2954,1,265482,265482,265482
85953 (1999 FK21),20085953,True,False,0.739,0.703,12.6,0.219,1.26,232.0,1.55,259.0,18.09,0.59,0.32,28.08,,,,85953,-0.00137951,0.000134468,10.259,1,85953,85953,85953
(2021 GM1),54134666,True,False,0.978,0.0255,1.18,0.953,1.0,353.0,1.02,72.9,30.4,,,,,,,2021 GM1,-0.487617,0.0477267,10.2168,Rej.,2021 gm1,2021,2021 GM1
